WINTER,CLOSED0,OPENED0,DAYS,closed_mo,closed_day,opened_mo,opened_day
1852-53,,5-Apr,,,,,
1853-54,27-Dec,,,,,,
1854-55,,,,,,,
1855-56,18-Dec,14-Apr,118,12,18,4,14
1856-57,6-Dec,6-May,151,12,6,5,6
1857-58,25-Nov,26-Mar,121,11,25,3,26
1858-59,8-Dec,14-Mar,96,12,8,3,14
1859-60,7-Dec,26-Mar,110,12,7,3,26
1860-61,14-Dec,10-Apr,117,12,14,4,10
1861-62,2-Dec,13-Apr,132,12,2,4,13
1862-63,26-Dec,9-Apr,104,12,26,4,9
1863-64,18-Dec,21-Apr,125,12,18,4,21
1864-65,8-Dec,5-Apr,118,12,8,4,5
1865-66,14-Dec,18-Apr,125,12,14,4,18
1866-67,18-Dec,20-Apr,123,12,18,4,20
1867-68,12-Dec,31-Mar,110,12,12,3,31
1868-69,10-Dec,16-Apr,127,12,10,4,16
1869-70,2-Dec,12-Apr,131,12,2,4,12
1870-71,24-Dec,2-Apr,99,12,24,4,2
1871-72,19-Dec,23-Apr,126,12,19,4,23
1872-73,30-Nov,23-Apr,144,11,30,4,23
1873-74,29-Nov,14-Apr,136,11,29,4,14
1874-75,10-Dec,15-Apr,126,12,10,4,15
1875-76,10-Jan,10-Apr,91,1,10,4,10
1900-01,25-Dec,11-Apr,107,12,25,4,11
1901-02,15-Dec,30-Mar,105,12,15,3,30
1902-03,25-Dec,24-Mar,89,12,25,3,24
1903-04,13-Dec,17-Apr,126,12,13,4,17
1904-05,14-Dec,1-Apr,108,12,14,4,1
1905-06,1-Jan,8-Apr,97,1,1,4,8
1906-07,20-Dec,24-Mar,94,12,20,3,24
1907-08,1-Jan,24-Mar,83,1,1,3,24
1908-09,22-Dec,7-Apr,106,12,22,4,7
1909-10,18-Dec,26-Mar,98,12,18,3,26
1910-11,9-Dec,20-Mar,101,12,9,3,20
1911-12,28-Dec,14-Apr,108,12,28,4,14
1912-13,24-Dec,2-Apr,99,12,24,4,2
1913-14,12-Jan,10-Apr,88,1,12,4,10
1914-15,16-Dec,10-Apr,115,12,16,4,10
1915-16,28-Dec,8-Apr,102,12,28,4,8
1916-17,16-Dec,11-Apr,116,12,16,4,11
1917-18,11-Dec,5-Apr,115,12,11,4,5
1918-19,3-Jan,26-Mar,82,1,3,3,26
1919-20,9-Dec,28-Mar,110,12,9,3,28
1920-21,25-Dec,16-Mar,81,12,25,3,16
1921-22,25-Dec,31-Mar,96,12,25,3,31
1922-23,16-Dec,20-Apr,125,12,16,4,20
1923-24,1-Jan,14-Apr,104,1,1,4,14
1924-25,19-Dec,3-Apr,105,12,19,4,3
1925-26,16-Dec,19-Apr,124,12,16,4,19
1950-51,11-Dec,12-Apr,122,12,11,4,12
1951-52,16-Dec,8-Apr,114,12,16,4,8
1952-53,30-Dec,21-Mar,81,12,30,3,21
1953-54,30-Dec,25-Mar,85,12,30,3,25
1954-55,2-Jan,4-Apr,92,1,2,4,4
1955-56,12-Dec,4-Apr,114,12,12,4,4
1956-57,14-Dec,4-Apr,111,12,14,4,4
1957-58,30-Dec,4-Apr,95,12,30,4,4
1958-59,9-Dec,14-Apr,126,12,9,4,14
1959-60,29-Dec,12-Apr,105,12,29,4,12
1960-61,19-Dec,6-Apr,108,12,19,4,6
1961-62,16-Dec,12-Apr,117,12,16,4,12
1962-63,12-Dec,3-Apr,112,12,12,4,3
1963-64,20-Dec,11-Apr,113,12,20,4,11
1964-65,15-Dec,14-Apr,120,12,15,4,14
1965-66,11-Jan,17-Mar,65,1,11,3,17
1966-67,26-Dec,3-Apr,98,12,26,4,3
1967-68,27-Dec,27-Mar,91,12,27,3,27
1968-69,17-Dec,19-Dec,108,12,17,12,19
1968-69,25-Dec,10-Apr,108,12,25,4,10
1969-70,16-Dec,8-Apr,113,12,16,4,8
1970-71,24-Dec,13-Apr,110,12,24,4,13
1971-72,5-Jan,19-Apr,105,1,5,4,19
1972-73,7-Dec,14-Mar,97,12,7,3,14
1973-74,21-Dec,5-Apr,105,12,21,4,5
1974-75,2-Jan,19-Apr,107,1,2,4,19
1975-76,27-Dec,24-Mar,88,12,27,3,24
2000-01,13-Dec,7-Apr,115,12,13,4,7
2001-02,2-Jan,12-Jan,21,1,2,1,12
2001-02,4-Mar,15-Mar,21,3,4,3,15
2002-03,4-Jan,3-Apr,89,1,4,4,3
2003-04,7-Jan,27-Mar,80,1,7,3,27
2004-05,25-Dec,5-Apr,101,12,25,4,5
2005-06,19-Dec,24-Mar,95,12,19,3,24
2006-07,20-Jan,27-Mar,66,1,20,3,27
2007-08,26-Dec,10-Apr,106,12,26,4,10
2008-09,16-Dec,23-Mar,97,12,16,3,23
1876-77,8-Dec,17-Apr,130,12,8,4,17
1877-78,6-Jan,9-Mar,62,1,6,3,9
1878-79,21-Dec,12-Apr,112,12,21,4,12
1879-80,17-Dec,25-Mar,99,12,17,3,25
1880-81,23-Nov,3-May,161,11,23,5,3
1881-82,2-Jan,21-Mar,78,1,2,3,21
1882-83,10-Dec,13-Apr,124,12,10,4,13
1883-84,18-Dec,15-Apr,119,12,18,4,15
1884-85,17-Dec,20-Apr,124,12,17,4,20
1885-86,12-Dec,19-Apr,128,12,12,4,19
1886-87,5-Dec,15-Apr,131,12,5,4,15
1887-88,24-Dec,15-Apr,113,12,24,4,15
1888-89,2-Jan,31-Mar,88,1,2,3,31
1889-90,14-Jan,30-Mar,75,1,14,3,30
1890-91,26-Dec,16-Apr,111,12,26,4,16
1891-92,27-Dec,2-Apr,97,12,27,4,2
1892-93,16-Dec,7-Apr,112,12,16,4,7
1893-94,4-Dec,15-Mar,101,12,4,3,15
1894-95,28-Dec,8-Apr,101,12,28,4,8
1895-96,5-Jan,5-Apr,91,1,5,4,5
1896-97,21-Dec,10-Apr,110,12,21,4,10
1897-98,17-Dec,27-Mar,100,12,17,3,27
1898-99,9-Dec,18-Apr,130,12,9,4,18
1899-00,27-Dec,17-Apr,111,12,27,4,17
1926-27,6-Dec,19-Mar,103,12,6,3,19
1927-28,17-Dec,1-Apr,106,12,17,4,1
1928-29,21-Dec,27-Mar,96,12,21,3,27
1929-30,3-Dec,20-Mar,107,12,3,3,20
1930-31,16-Dec,24-Mar,98,12,16,3,24
1931-32,30-Jan,4-Apr,65,1,30,4,4
1932-33,10-Dec,4-Apr,115,12,10,4,4
1933-34,25-Dec,26-Mar,91,12,25,3,26
1934-35,24-Dec,28-Mar,94,12,24,3,28
1935-36,20-Dec,30-Mar,101,12,20,3,30
1936-37,7-Dec,30-Dec,121,12,7,12,30
1936-37,5-Jan,13-Apr,121,1,5,4,13
1937-38,7-Dec,22-Mar,105,12,7,3,22
1938-39,28-Dec,4-Apr,97,12,28,4,4
1939-40,2-Jan,16-Apr,105,1,2,4,16
1940-41,5-Jan,11-Apr,96,1,5,4,11
1941-42,3-Jan,26-Mar,82,1,3,3,26
1942-43,7-Dec,2-Apr,116,12,7,4,2
1943-44,16-Dec,8-Apr,114,12,16,4,8
1944-45,18-Dec,20-Mar,92,12,18,3,20
1945-46,13-Dec,21-Mar,98,12,13,3,21
1946-47,30-Dec,10-Apr,101,12,30,4,10
1947-48,21-Dec,3-Apr,104,12,21,4,3
1948-49,24-Dec,30-Mar,96,12,24,3,30
1949-50,23-Dec,11-Apr,109,12,23,4,11
1976-77,3-Dec,28-Mar,115,12,3,3,28
1977-78,7-Dec,8-Dec,123,12,7,12,8
1977-78,10-Dec,11-Apr,123,12,10,4,11
1978-79,10-Dec,13-Dec,118,12,10,12,13
1978-79,25-Dec,19-Apr,118,12,25,4,19
1979-80,29-Dec,6-Apr,99,12,29,4,6
1980-81,20-Dec,23-Mar,93,12,20,3,23
1981-82,28-Dec,3-Apr,96,12,28,4,3
1982-83,13-Jan,8-Mar,54,1,13,3,8
1983-84,19-Dec,8-Apr,111,12,19,4,8
1984-85,25-Dec,26-Dec,85,12,25,12,26
1984-85,2-Jan,27-Mar,85,1,2,3,27
1985-86,14-Dec,31-Mar,107,12,14,3,31
1986-87,13-Dec,12-Mar,89,12,13,3,12
1987-88,2-Jan,29-Mar,87,1,2,3,29
1988-89,29-Dec,5-Apr,97,12,29,4,5
1989-90,12-Dec,15-Mar,93,12,12,3,15
1990-91,26-Dec,24-Mar,88,12,26,3,24
1991-92,18-Dec,26-Mar,99,12,18,3,26
1992-93,24-Dec,11-Apr,108,12,24,4,11
1993-94,27-Dec,31-Mar,94,12,27,3,31
1994-95,6-Jan,21-Mar,74,1,6,3,21
1995-96,10-Dec,7-Apr,119,12,10,4,7
1996-97,20-Dec,1-Apr,102,12,20,4,1
1997-98,11-Jan,27-Feb,47,1,11,2,27
1998-99,30-Dec,21-Mar,82,12,30,3,21
1999-00,14-Jan,7-Mar,53,1,14,3,7
2009-10,29-Dec,26-Mar,87,12,29,3,26
2010-11,15-Dec,3-Apr,109,12,15,4,3
2011-12,14-Jan,11-Mar,57,1,14,3,11
2012-13,14-Jan,11-Apr,87,1,14,4,11
2013-14,16-Dec,12-Apr,117,12,16,4,12
2014-15,2-Jan,3-Apr,91,1,2,4,3
2015-16,11-Jan,13-Mar,62,1,11,3,13
2016-17,1-Jan,7-Mar,65,1,1,3,7
2017-18,27-Dec,31-Mar,94,12,27,3,31